scope,path,delivery_day,period,activation_state,information_set,activation_representation,delivery_days,evaluated_days,scenarios,valid_n,missing_n,availability_ok
premium_pool,,2026-02-13,2,0,gate_0730,,81,,,60,0,True
premium_pool,,2026-02-13,2,1,gate_0730,,81,,,1236,0,True
premium_pool,,2026-02-13,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-13,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-13,4,0,gate_0730,,81,,,136,0,True
premium_pool,,2026-02-13,4,1,gate_0730,,81,,,1160,0,True
premium_pool,,2026-02-13,5,0,gate_0730,,81,,,220,0,True
premium_pool,,2026-02-13,5,1,gate_0730,,81,,,1076,0,True
premium_pool,,2026-02-14,0,0,gate_0730,,81,,,88,0,True
premium_pool,,2026-02-14,0,1,gate_0730,,81,,,1208,0,True
premium_pool,,2026-02-14,1,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-14,1,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-14,2,0,gate_0730,,81,,,56,0,True
premium_pool,,2026-02-14,2,1,gate_0730,,81,,,1240,0,True
premium_pool,,2026-02-14,3,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-14,3,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-14,4,0,gate_0730,,81,,,144,0,True
premium_pool,,2026-02-14,4,1,gate_0730,,81,,,1152,0,True
premium_pool,,2026-02-14,5,0,gate_0730,,81,,,232,0,True
premium_pool,,2026-02-14,5,1,gate_0730,,81,,,1064,0,True
premium_pool,,2026-02-15,0,0,gate_0730,,81,,,88,0,True
premium_pool,,2026-02-15,0,1,gate_0730,,81,,,1208,0,True
premium_pool,,2026-02-15,1,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-15,1,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-15,2,0,gate_0730,,81,,,64,0,True
premium_pool,,2026-02-15,2,1,gate_0730,,81,,,1232,0,True
premium_pool,,2026-02-15,3,0,gate_0730,,81,,,68,0,True
