delivery_day,strategy,planned_profit_eur,base_terminal_soc_deviation_mwh,exclusivity_violations,energy_eur,capacity_eur,activation_eur,shortfall_cost_eur,schedule_gap_cost_eur,recovery_cost_eur,total_eur,committed_mw_hours,required_activation_mwh,delivered_activation_mwh,reserve_power_gap_mwh,reserve_energy_gap_mwh,day_ahead_gap_mwh,recovery_grid_mwh,max_committed_gross_power_mw,max_realised_gross_power_mw,slots_with_shortfall,slots_with_schedule_gap,activation_during_charge_slots,recovery_during_discharge_slots,recovery_during_activation_slots,recovery_overlap_slots,min_soc_mwh,max_soc_mwh,terminal_soc_mwh,terminal_soc_deviation_mwh,cycles,aggregation_quarter_total_eur,aggregation_hourly_total_eur,aggregation_cost_eur
2026-04-19,F08_LightGBM,1781.5285227922252,8.881784197001252e-16,0,468.6784549435456,941.04,2205.330089123515,0.00011932999998811308,0.0,79.7512328086548,3535.2971919284055,36.0,2.885265931291896,2.8852649312918963,0.0,9.999999999003861e-07,0.0,3.394429328762338,4.0,4.0,0,0,0,1,8,9,-9.999999717180685e-10,7.999999999000001,4.399999998000002,-1.9999983891239026e-09,0.9219544457292888,3683.8582278707063,3664.9060162770065,18.952211593699758
2026-04-20,F08_LightGBM,1366.2652564429877,-1.7763568394002505e-15,0,496.74984713961976,1716.28,247.99514717138987,6.634000002078103e-05,0.0,66.82383815058806,2394.2010898204217,32.0,2.0301384340734314,2.0301374340734313,0.0,1.0000000003132503e-06,0.0,2.3883969790935535,4.0,4.0,1,0,0,0,4,4,-1.0000000272292198e-09,8.0,4.399999997999997,-2.000003718194421e-09,1.3368339463074688,2826.2909266170936,2720.4583208972663,105.83260571982737
2026-04-21,F08_LightGBM,2041.5753727815406,-1.7763568394002505e-15,0,592.36534596747,2572.4,643.4060352496244,-0.433799289999738,0.0,136.60949212975058,3671.995688377344,44.0,6.9428684250946056,5.542867425094603,1.4,1.0000000013055121e-06,0.0,6.521020496857342,4.0,4.0,2,0,0,1,11,12,-1.99999916628002e-09,8.0,4.399999997,-3.000000248221113e-09,1.3368339463074688,3330.1160412864547,3301.459931108205,28.65611017824949
2026-04-22,F08_LightGBM,2236.147578068326,8.881784197001252e-16,0,442.93356184818896,3416.6,609.4884421814694,0.00010408000003115869,0.0,3.964901813025506,4465.0569981366325,48.0,3.454760786745547,3.454759786745547,0.0,1.0000000002993725e-06,0.0,4.0644232763548676,4.0,4.0,1,0,0,0,4,4,-9.999998051846148e-10,7.999999999,4.399999998000001,-1.9999992773023223e-09,0.9219544457292888,4674.739047246752,4669.022766459826,5.716280786926291
2026-04-23,F08_LightGBM,2567.1224541903225,-8.881784197001252e-16,0,423.35901437170446,3236.64,643.5449579934357,0.00010344000003724748,0.0,17.33523770135735,4286.2086312237825,40.0,2.5964017008634954,2.596400700863495,0.0,1.0000000003600878e-06,0.0,3.0545890587547535,4.0,4.0,1,0,0,1,6,7,-2.0000000544584395e-09,8.0,4.399999999,-1.000000082740371e-09,1.3368339463074688,5126.3242921033725,5117.939002175121,8.38528992825195
2026-04-24,F08_LightGBM,2403.024622324279,-1.7763568394002505e-15,0,397.32384744615365,3450.3999999999996,802.4116528286429,7.586000000639248e-05,0.0,-0.807315926247931,4650.942740341044,44.0,3.1362790963190914,3.1362780963190913,0.0,1.0000000000842668e-06,0.0,3.68973893684599,4.0,4.0,1,0,0,0,2,2,-1.0000000272292198e-09,8.000000001,4.399999999999999,-1.7763568394002505e-15,1.3469544457292888,5775.82602167631,5775.273609845712,0.5524118305984302
2026-04-25,F08_LightGBM,2530.66640460001,0.0,0,410.3313479827177,759.08,2547.2411376030036,-41.071535989385204,0.0,-122.32790035756283,3880.0519219326693,44.0,12.676358438970837,9.283903538261615,3.39245390070922,1.000000000916934e-06,0.0,10.922239456778374,4.0,4.0,4,0,0,0,16,16,0.09794652219241984,8.000000001000004,4.400000000000006,5.329070518200751e-15,1.2648795005781799,1553.00427505894,1520.5584436383099,32.44583142063016
2026-04-26,F08_LightGBM,1625.0155218821735,-8.881784197001252e-16,0,364.17678517340056,1171.92,1474.5641585762596,-0.023103081111117536,0.0,40.446541640932054,2970.237505189839,36.0,6.156045404786044,6.132933293674933,0.023111111111111082,9.999999991960884e-07,0.0,7.215215636363609,4.0,4.0,1,0,0,1,12,13,-1.999999721391532e-09,8.0,4.399999996999997,-3.000002912756372e-09,1.3368339463074688,3377.3600891789433,3376.1346384158887,1.2254507630545959
2026-04-27,F08_LightGBM,2056.012148887094,8.881784197001252e-16,0,548.2970524884128,2103.24,297.42255389805916,0.0001113699999991454,0.0,66.59590397601673,2882.3635910404546,40.0,2.067026864171324,2.067025864171324,0.0,9.999999999923265e-07,0.0,2.431795132149899,4.0,4.0,0,0,0,1,8,9,-1.000000082740371e-09,7.999999999,4.399999998,-2.000000165480742e-09,0.9219544457292888,2979.7826963841576,2967.969562436214,11.813133947943697
2026-04-28,F08_LightGBM,2564.4457057937307,8.881784197001252e-16,0,319.87453905528577,2421.84,542.8871125480615,-0.24878463888887653,0.0,56.81629135548575,3228.0341448867507,48.0,4.9194966927708315,4.421717914993053,0.4977777777777779,1.0000000001189613e-06,0.0,5.202021074293109,4.0,4.0,2,0,0,0,12,12,-9.999999162069173e-10,7.999999999,4.399999998,-2.000000165480742e-09,0.9219544457292888,3254.7545942168667,3238.765632325413,15.988961891453528
