arm,method_name,evaluation_set,n_days,target,mae,rmse,rmae,n_valid
hist_paired,Historical paired scenarios,main_211,211,day_ahead_price,36.78309758852781,49.81507736597069,0.991335421879634,5064
hist_paired,Historical paired scenarios,main_211,211,capacity_price,12.322938368592125,26.66285434139832,1.061095217431198,5064
hist_paired,Historical paired scenarios,main_211,211,activation_volume,10.148342215433058,19.06714422351356,0.7466420055236702,5064
hist_paired,Historical paired scenarios,main_211,211,activation_price,79.74370985162507,205.20330860059116,0.6964386462221003,4464
hist_paired,Historical paired scenarios,common_209,209,day_ahead_price,36.88290171060363,49.95343928018252,0.9990670693441952,5016
hist_paired,Historical paired scenarios,common_209,209,capacity_price,12.270771511524346,26.633595625957057,1.0592926683544068,5016
hist_paired,Historical paired scenarios,common_209,209,activation_volume,10.192635561886703,19.144064528293093,0.7530633268806964,5016
hist_paired,Historical paired scenarios,common_209,209,activation_price,80.04405504792666,206.10392294448616,0.6987092122860936,4417
hist_independent,Historical independent scenarios,main_211,211,day_ahead_price,36.686342332709785,49.790597088074215,0.9887277863450088,5064
hist_independent,Historical independent scenarios,main_211,211,capacity_price,12.266440547982947,26.73361489059672,1.0562303414210674,5064
hist_independent,Historical independent scenarios,main_211,211,activation_volume,10.088749994559192,19.081898113102483,0.7422576386623312,5064
hist_independent,Historical independent scenarios,main_211,211,activation_price,79.6458074276194,205.57457516425032,0.6955836191389204,4464
hist_independent,Historical independent scenarios,common_209,209,day_ahead_price,36.767202717646136,49.91720792946709,0.9959330682635024,5016
hist_independent,Historical independent scenarios,common_209,209,capacity_price,12.20561302674563,26.693104627886736,1.0536677648882835,5016
hist_independent,Historical independent scenarios,common_209,209,activation_volume,10.13384668557113,19.15870989564858,0.7487198235234952,5016
hist_independent,Historical independent scenarios,common_209,209,activation_price,79.95549152525756,206.48006036254023,0.6979361361454063,4417
empirical_copula,Empirical-copula scenarios,main_211,211,day_ahead_price,27.73223394023015,40.52978709950226,0.7474070329894446,5064
empirical_copula,Empirical-copula scenarios,main_211,211,capacity_price,9.645480123145662,24.21702064389077,0.8305464591613348,5064
empirical_copula,Empirical-copula scenarios,main_211,211,activation_volume,10.06345116568821,19.31444952124734,0.7403963328525109,5064
empirical_copula,Empirical-copula scenarios,main_211,211,activation_price,75.95525570735286,201.771032193296,0.6633523265560022,4464
empirical_copula,Empirical-copula scenarios,common_209,209,day_ahead_price,27.79694224873783,40.63929499434143,0.7529507804748544,5016
empirical_copula,Empirical-copula scenarios,common_209,209,capacity_price,9.621696698139552,24.26305365961929,0.8306073305901609,5016
