arm,method_name,seed,evaluation_set,n_days,metric,target_x,target_y,lag_hours_y_after_x,observed_value,scenario_value,difference,n_observed_pairs,n_scenario_pairs
empirical_copula,Empirical-copula scenarios,1,common_209,209,spearman_rho,activation_volume,activation_volume,1,0.4687747181727007,0.4164953670562597,-0.052279351116441,4807,480700
empirical_copula,Empirical-copula scenarios,1,common_209,209,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2589641434262948,0.3626667198309376,0.1037025764046428,502,50159
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,main_211,211,spearman_rho,day_ahead_price,capacity_price,0,0.404124287098665,0.3799148796413609,-0.0242094074573041,5064,506400
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,main_211,211,spearman_rho,day_ahead_price,capacity_price,1,0.3719155400030419,0.3724373195537291,0.0005217795506872,4853,485300
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,main_211,211,spearman_rho,day_ahead_price,activation_volume,0,-0.1444731753375065,-0.0802235634894076,0.0642496118480989,5064,506400
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,main_211,211,spearman_rho,day_ahead_price,activation_volume,1,-0.1881855028991759,-0.1170235262813185,0.0711619766178574,4853,485300
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,main_211,211,spearman_rho,capacity_price,activation_volume,0,-0.0498793351406148,-0.0429627127943633,0.0069166223462515,5064,506400
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,main_211,211,spearman_rho,capacity_price,activation_volume,1,-0.0457165786710576,-0.0550003130588643,-0.0092837343878067,4853,485300
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,main_211,211,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384152,0.7618951447684386,-0.1744892651699765,4853,485300
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,main_211,211,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.591879694192616,-0.1913984105645222,4853,485300
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,main_211,211,spearman_rho,activation_volume,activation_volume,1,0.46886524499604,0.1487933232843524,-0.3200719217116876,4853,485300
