arm,method_name,target,evaluation_set,n_days,month,interval_level,coverage,coverage_deviation,average_width,n_valid
hist_paired,Historical paired scenarios,capacity_price,main_211,211,2026-03,0.9,0.6922043010752689,-0.2077956989247311,56.17969244193204,744
hist_paired,Historical paired scenarios,capacity_price,main_211,211,2026-04,0.9,0.6486111111111111,-0.2513888888888889,47.749086145052885,720
hist_paired,Historical paired scenarios,capacity_price,main_211,211,2026-05,0.9,0.8051075268817204,-0.0948924731182796,47.10341873333227,744
hist_paired,Historical paired scenarios,capacity_price,main_211,211,2026-06,0.9,0.8430555555555556,-0.0569444444444444,50.41368359089311,720
hist_paired,Historical paired scenarios,capacity_price,main_211,211,2026-07,0.9,0.8145161290322581,-0.0854838709677419,44.74583140796611,744
hist_paired,Historical paired scenarios,capacity_price,main_211,211,2026-08,0.9,0.8942307692307693,-0.0057692307692307,45.58646693984523,624
hist_paired,Historical paired scenarios,activation_volume,main_211,211,2026-02,0.9,0.8720238095238095,-0.0279761904761904,47.28705294697512,672
hist_paired,Historical paired scenarios,activation_volume,main_211,211,2026-03,0.9,0.8951612903225806,-0.0048387096774193,39.207274760132,744
hist_paired,Historical paired scenarios,activation_volume,main_211,211,2026-04,0.9,0.8777777777777778,-0.0222222222222222,44.81073051944102,720
hist_paired,Historical paired scenarios,activation_volume,main_211,211,2026-05,0.9,0.8938172043010753,-0.0061827956989247,48.88677148207788,744
hist_paired,Historical paired scenarios,activation_volume,main_211,211,2026-06,0.9,0.9125,0.0124999999999999,50.095118020430014,720
hist_paired,Historical paired scenarios,activation_volume,main_211,211,2026-07,0.9,0.9422043010752688,0.0422043010752688,46.49661302472281,744
hist_paired,Historical paired scenarios,activation_volume,main_211,211,2026-08,0.9,0.9102564102564102,0.0102564102564102,42.30874864104537,624
hist_paired,Historical paired scenarios,activation_price,main_211,211,2026-02,0.9,0.9019933554817277,0.0019933554817275,413.20706327773394,602
hist_paired,Historical paired scenarios,activation_price,main_211,211,2026-03,0.9,0.8020527859237536,-0.0979472140762464,327.61813960886406,682
hist_paired,Historical paired scenarios,activation_price,main_211,211,2026-04,0.9,0.7961309523809523,-0.1038690476190477,435.4379559522227,672
hist_paired,Historical paired scenarios,activation_price,main_211,211,2026-05,0.9,0.8361344537815126,-0.0638655462184873,404.9421481826641,714
hist_paired,Historical paired scenarios,activation_price,main_211,211,2026-06,0.9,0.776824034334764,-0.123175965665236,383.0590555916696,699
hist_paired,Historical paired scenarios,activation_price,main_211,211,2026-07,0.9,0.8575458392101551,-0.0424541607898448,333.53315697369504,709
