,datetime,Up,Down,sp,cloud_amount,wind_speed,precipitation_amount,pressure,air_temperature,relative_humidity,wind_direction,date,Down_Cap,Up_Cap,is_public_holiday,electricity_consumption,electricity_consumption_Finnish_networks,electricity_consumption_forecast
983,2024-07-31 21:00:00+00:00,84.27090454101562,-25.87166786193848,-0.01,6.922222222222222,2.791111111111112,0.0,1002.8022222222222,15.417777777777776,91.7,261.1888888888889,2024-07-31,23.94,11.7,0,29663.34,3903005.626,29738.3
984,2024-07-31 22:00:00+00:00,39.03263092041016,-25.885364532470703,1.09,6.033333333333333,2.9244444444444446,0.0,1002.6777777777776,15.117777777777777,92.17777777777778,268.3111111111112,2024-08-01,25.38,11.86,0,28440.2,3619141.548,28387.5
985,2024-07-31 23:00:00+00:00,82.2580337524414,-23.269920349121094,0.0,4.877777777777778,3.038888888888889,0.0,1002.6811111111112,14.76777777777778,92.92222222222225,253.22222222222223,2024-08-01,21.38,9.72,0,27933.36,3494791.642,27655.1
986,2024-08-01 00:00:00+00:00,122.7625732421875,-20.23341178894043,-0.01,5.077777777777778,2.935555555555556,0.02,1002.6122222222222,14.545555555555556,93.48888888888888,244.8111111111112,2024-08-01,20.31,9.72,0,27770.43,3427601.652,27337.9
987,2024-08-01 01:00:00+00:00,89.58812713623047,-25.027114868164062,-0.01,6.488888888888889,3.0266666666666664,0.0,1002.5066666666664,14.436666666666667,93.24444444444444,245.5555555555556,2024-08-01,20.37,9.56,0,27555.6,3373638.454,27169.1
988,2024-08-01 02:00:00+00:00,89.58812713623047,-30.0,0.0,7.466666666666667,3.0351111111111115,0.0,1002.338888888889,14.463333333333336,92.78888888888888,250.20222222222225,2024-08-01,20.37,9.56,0,27918.21,3429233.549,27315.9
989,2024-08-01 03:00:00+00:00,89.58812713623047,-29.651952743530277,2.34,7.488888888888889,2.995555555555556,0.0,1002.2766666666666,14.663333333333332,92.1,251.7555555555556,2024-08-01,27.8,13.98,0,29850.52,3853544.616,28973.6
990,2024-08-01 04:00:00+00:00,124.3137664794922,-4.960649967193604,23.06,7.4,3.2088888888888887,0.3,1002.2177777777778,14.996666666666666,91.42222222222222,261.4111111111111,2024-08-01,22.2,18.1,0,31480.07,4260450.804,30874.3
991,2024-08-01 05:00:00+00:00,140.22227478027344,-29.643150329589844,27.04,7.377777777777778,3.611111111111111,0.0933333333333333,1002.1033333333332,15.46111111111111,89.22222222222221,264.6666666666667,2024-08-01,14.34,18.1,0,32840.71,4532172.024,32190.3
992,2024-08-01 06:00:00+00:00,190.1757049560547,-17.70108985900879,28.32,7.388888888888888,3.72,0.0,1002.0188888888888,15.865555555555556,86.81111111111112,270.0,2024-08-01,14.34,18.1,0,33821.89,4707419.601,33129.1
