delivery_day,activated_mwh_per_mw,activation_revenue_eur_per_mw,forgone_day_ahead_eur_per_mw,net_activation_eur_per_mw,activated_mwh_at_arm_power,soc_throughput_share_of_energy,arm
2026-02-16,4.5064,1560.750132,349.7158857728,1211.0342462272,45.064,2.2532,sensitivity
2026-02-17,2.7616,380.51482000000004,260.0469778341,120.46784216590004,27.616,1.3808,sensitivity
2026-02-18,5.4418,3230.044352,595.8802402651,2634.1641117349,54.418,2.7209,sensitivity
2026-02-19,7.6074,7455.740415,716.9147848575,6738.8256301425,76.074,3.8037,sensitivity
2026-02-20,4.7232,1571.367656,384.8821498707,1186.4855061293,47.232,2.3616,sensitivity
2026-02-21,9.5384,3349.314409,554.5129137603,2794.8014952397,95.38399999999999,4.7692,sensitivity
2026-02-22,8.5623,2300.2514459999998,437.6751500761,1862.5762959238998,85.623,4.28115,sensitivity
2026-02-23,4.4473,839.469199,341.3108378404,498.1583611596,44.473,2.22365,sensitivity
2026-02-24,5.1233,2211.100663,527.2486074638,1683.8520555362002,51.233000000000004,2.56165,sensitivity
2026-02-25,3.0382190377970035,426.1647153131544,278.12119766431294,148.04351764884143,30.382190377970034,1.5191095188985018,sensitivity
2026-02-26,0.8504654306315673,290.11081783393485,68.21338522684745,221.8974326070874,8.504654306315674,0.42523271531578366,sensitivity
2026-02-27,4.753155814417964,2250.0515755637794,332.6524619573603,1917.3991136064192,47.53155814417964,2.376577907208982,sensitivity
2026-02-28,5.374204463641802,2709.1848817491514,421.74740331628755,2287.437478432864,53.74204463641802,2.687102231820901,sensitivity
2026-03-01,2.954734105180534,840.443362065711,128.68841288434402,711.754949181367,29.54734105180534,1.477367052590267,sensitivity
2026-03-02,2.3689114773421673,1654.0896296784176,193.6128744538665,1460.4767552245512,23.68911477342167,1.1844557386710837,sensitivity
2026-03-03,0.88742284850249,107.7297401478636,82.30503243426195,25.42470771360165,8.8742284850249,0.44371142425124505,sensitivity
2026-03-04,2.275023036519769,1086.8915276533392,338.90502954886256,747.9864981044766,22.75023036519769,1.1375115182598845,sensitivity
2026-03-05,2.1948991560169846,301.05462327529824,253.46077154778345,47.59385172751479,21.948991560169844,1.0974495780084923,sensitivity
2026-03-06,4.9617282611025395,726.7660640483017,546.8227110601175,179.9433529881842,49.617282611025395,2.4808641305512698,sensitivity
2026-03-07,8.505952611114044,4640.313050560604,796.6698711839564,3843.643179376648,85.05952611114043,4.252976305557022,sensitivity
2026-03-08,5.352073491091248,1842.5085400758494,536.0634650040872,1306.4450750717622,53.52073491091248,2.676036745545624,sensitivity
2026-03-09,2.7105031666386576,473.88220957206084,393.19298035615634,80.6892292159045,27.105031666386576,1.3552515833193288,sensitivity
2026-03-10,2.6725644095051337,654.0341064269152,384.2813589838566,269.7527474430586,26.725644095051337,1.3362822047525669,sensitivity
2026-03-11,4.722047866410812,747.2651759455863,349.4142952514295,397.8508806941568,47.22047866410812,2.361023933205406,sensitivity
2026-03-12,2.3145451998966315,141.10528230661342,76.15003829917114,64.95524400744227,23.145451998966315,1.1572725999483158,sensitivity
2026-03-13,11.786624107167565,1103.2307936067427,134.22821136124702,969.0025822454957,117.86624107167566,5.893312053583783,sensitivity
2026-03-14,4.01353610484561,1011.0865538207748,466.19085487182485,544.89569894895,40.1353610484561,2.006768052422805,sensitivity
2026-03-15,1.873802931816742,304.9599555098974,207.89618790581667,97.06376760408071,18.73802931816742,0.936901465908371,sensitivity
2026-03-16,3.909590650360629,2021.891235646179,279.97281734595305,1741.918418300226,39.09590650360629,1.9547953251803143,sensitivity
2026-03-17,2.000980500003167,397.3858061149377,236.36546662756177,161.0203394873759,20.00980500003167,1.0004902500015835,sensitivity
2026-03-18,2.771574851779505,318.295088224605,162.92533417046928,155.36975405413574,27.71574851779505,1.3857874258897525,sensitivity
2026-03-19,3.355355354557844,571.2661150879335,338.1876793292482,233.07843575868526,33.55355354557844,1.677677677278922,sensitivity
2026-03-20,1.725248696798149,449.59310316811593,258.3467555875783,191.24634758053764,17.25248696798149,0.8626243483990745,sensitivity
2026-03-21,6.2354412487492255,1102.8114736893851,423.1485213843221,679.6629523050631,62.354412487492255,3.1177206243746127,sensitivity
2026-03-22,5.832157308660068,1275.0400840748448,198.24393881175016,1076.7961452630946,58.32157308660068,2.916078654330034,sensitivity
2026-03-23,4.842070301154876,852.1643272682085,600.7914325610119,251.37289470719656,48.42070301154876,2.421035150577438,sensitivity
2026-03-24,4.439359705981329,536.8478006208551,226.32427769345847,310.5235229273966,44.39359705981329,2.2196798529906645,sensitivity
2026-03-25,8.670037529550827,884.5237211385128,61.06653009505295,823.4571910434598,86.70037529550827,4.3350187647754135,sensitivity
2026-03-26,1.1956607390648568,154.99689226748893,75.50643723410228,79.49045503338665,11.956607390648568,0.5978303695324284,sensitivity
2026-03-27,1.8377907451398567,372.86831300833734,213.3842932542533,159.48401975408404,18.377907451398567,0.9188953725699284,sensitivity
2026-03-28,4.233305415651154,483.1058491018727,203.00400334309018,280.10184575878253,42.33305415651154,2.116652707825577,sensitivity
2026-03-29,5.163130804157121,462.65468431969737,259.70506216404897,202.9496221556484,51.63130804157121,2.5815654020785606,sensitivity
2026-03-30,4.520807843326453,479.30013236364425,109.44692323715729,369.85320912648695,45.208078433264525,2.2604039216632263,sensitivity
2026-03-31,1.7522194549385361,260.30152667038607,216.73325034148385,43.568276328902215,17.52219454938536,0.8761097274692681,sensitivity
2026-04-01,3.6414360403201704,664.5062003714298,450.6143738342509,213.89182653717893,36.414360403201705,1.8207180201600852,sensitivity
2026-04-02,3.0087283851636437,529.5723021309536,292.2512880423066,237.32101408864702,30.087283851636435,1.5043641925818219,sensitivity
2026-04-03,2.595102444760871,222.9951180751434,119.3737049680023,103.62141310714111,25.95102444760871,1.2975512223804355,sensitivity
2026-04-04,2.3747758706513533,192.251323120695,85.0422417339459,107.20908138674909,23.747758706513533,1.1873879353256767,sensitivity
2026-04-05,12.072000000000001,1203.8365639583333,-9.447122736708334,1213.2836866950415,120.72000000000001,6.0360000000000005,sensitivity
2026-04-06,4.950059400252058,572.2544751372106,30.90323582339828,541.3512393138124,49.50059400252058,2.475029700126029,sensitivity
2026-04-07,2.9368488776324924,324.2331346999622,134.9809547558222,189.25217994413998,29.368488776324924,1.4684244388162462,sensitivity
2026-04-08,3.0746180332360904,375.7146451814601,214.46025446366957,161.25439071779056,30.746180332360904,1.5373090166180452,sensitivity
2026-04-09,3.4704365289584014,517.1296320158232,111.98862438849848,405.1410076273247,34.70436528958401,1.7352182644792005,sensitivity
2026-04-10,1.2540221471047486,218.00550919384995,151.699316136525,66.30619305732495,12.540221471047486,0.6270110735523743,sensitivity
2026-04-11,4.08154742845918,502.4433554490851,190.90295998281312,311.540395466272,40.8154742845918,2.04077371422959,sensitivity
2026-04-12,11.070006334035998,1524.3934512841543,360.6789949707893,1163.714456313365,110.70006334035997,5.535003167017999,sensitivity
2026-04-13,3.232391306563115,672.9687424102071,390.98078066424125,281.9879617459659,32.32391306563115,1.6161956532815576,sensitivity
2026-04-14,2.328650453461319,479.5124829531531,352.3679442891127,127.1445386640404,23.286504534613186,1.1643252267306594,sensitivity
2026-04-15,3.003138094982679,442.12682349120774,328.0804566719282,114.04636681927957,30.03138094982679,1.5015690474913395,sensitivity
2026-04-16,4.177522166394015,659.6381727634367,363.931642009825,295.70653075361173,41.775221663940144,2.0887610831970074,sensitivity
2026-04-17,1.5594100881659707,299.53101326032515,135.90639614671045,163.6246171136147,15.594100881659706,0.7797050440829854,sensitivity
2026-04-18,2.646559996287776,275.90859566739704,169.92068183319802,105.98791383419902,26.46559996287776,1.323279998143888,sensitivity
2026-04-19,3.4445861457443225,815.7916299332103,163.08615666725728,652.7054732659531,34.44586145744323,1.7222930728721615,sensitivity
2026-04-20,2.366926583827,767.1595390282488,191.17520357148058,575.9843354567682,23.66926583827,1.1834632919135,sensitivity
2026-04-21,2.891467106273651,330.3021710224061,109.08056964486926,221.22160137753687,28.914671062736513,1.4457335531368256,sensitivity
2026-04-22,3.8939889771741916,975.7271418213429,198.58090743962524,777.1462343817177,38.93988977174192,1.9469944885870958,sensitivity
