target,forecast_origin_utc,horizon_hour,timestamp_utc,actual,forecast
Down,2025-02-08T22:00:00+00:00,14,2025-02-09T12:00:00+00:00,8.350000381469727,-10.050196034169991
Down,2025-02-08T22:00:00+00:00,15,2025-02-09T13:00:00+00:00,2.49750018119812,-6.00863443884694
Down,2025-02-08T22:00:00+00:00,16,2025-02-09T14:00:00+00:00,-3.387500047683716,-7.3756453772492385
Down,2025-02-08T22:00:00+00:00,17,2025-02-09T15:00:00+00:00,-4.110000133514404,-1.0045798261940202
Down,2025-02-08T22:00:00+00:00,18,2025-02-09T16:00:00+00:00,-0.1200000047683715,-8.549654388780127
Down,2025-02-08T22:00:00+00:00,19,2025-02-09T17:00:00+00:00,-4.574999809265137,-5.31944562474285
Down,2025-02-08T22:00:00+00:00,20,2025-02-09T18:00:00+00:00,-4.082499980926514,-7.470500342650766
Down,2025-02-08T22:00:00+00:00,21,2025-02-09T19:00:00+00:00,-5.007500171661377,-7.252002941565441
Down,2025-02-08T22:00:00+00:00,22,2025-02-09T20:00:00+00:00,-4.087500095367432,-10.544108811897086
Down,2025-02-08T22:00:00+00:00,23,2025-02-09T21:00:00+00:00,-5.0,-14.860520258585325
Down,2025-02-08T22:00:00+00:00,24,2025-02-09T22:00:00+00:00,-4.885000228881836,-9.089528893788481
Down,2025-02-08T22:00:00+00:00,25,2025-02-09T23:00:00+00:00,-4.349999904632568,-16.725072107139766
Down,2025-02-08T22:00:00+00:00,26,2025-02-10T00:00:00+00:00,-0.7933333516120911,-10.907333052093598
Down,2025-02-08T22:00:00+00:00,27,2025-02-10T01:00:00+00:00,-1.607500076293945,-13.698774409060995
Down,2025-02-08T22:00:00+00:00,28,2025-02-10T02:00:00+00:00,0.0674999952316284,-15.143101885399043
Down,2025-02-08T22:00:00+00:00,29,2025-02-10T03:00:00+00:00,-1.215000033378601,-26.508622373062806
Down,2025-02-08T22:00:00+00:00,30,2025-02-10T04:00:00+00:00,-0.0850000083446502,-19.633195713357257
Down,2025-02-08T22:00:00+00:00,31,2025-02-10T05:00:00+00:00,-3.5899999141693115,-18.300654752627477
Down,2025-02-08T22:00:00+00:00,32,2025-02-10T06:00:00+00:00,31.5433349609375,-22.18702193612438
Down,2025-02-08T22:00:00+00:00,33,2025-02-10T07:00:00+00:00,77.61000061035156,-18.193113148986146
Down,2025-02-08T22:00:00+00:00,34,2025-02-10T08:00:00+00:00,56.005001068115234,-19.474863958466806
Down,2025-02-08T22:00:00+00:00,35,2025-02-10T09:00:00+00:00,56.005001068115234,-15.17013854534641
Down,2025-02-08T22:00:00+00:00,36,2025-02-10T10:00:00+00:00,66.33000183105469,-27.20026058267056
Down,2025-02-08T22:00:00+00:00,37,2025-02-10T11:00:00+00:00,91.66999816894533,-25.136870096878656
Down,2025-02-08T22:00:00+00:00,38,2025-02-10T12:00:00+00:00,61.19499969482422,-19.538237275934982
Down,2025-02-08T22:00:00+00:00,39,2025-02-10T13:00:00+00:00,36.0,-22.881949942882958
Down,2025-02-08T22:00:00+00:00,40,2025-02-10T14:00:00+00:00,30.17250061035156,-26.926398711760697
Down,2025-02-08T22:00:00+00:00,41,2025-02-10T15:00:00+00:00,49.69000244140625,-25.4168153985052
Down,2025-02-08T22:00:00+00:00,42,2025-02-10T16:00:00+00:00,20.247499465942383,-22.659467435424677
